Name;Acronym;city;state;country_name;country_code
Hospital Santa Marcelina;;São Paulo;;Brazil;BR
Hospital Socor;;Belo Horizonte;;Brazil;BR
Hospital São Paulo;HSP;São Paulo;;Brazil;BR
Hospital São Rafael;HSR;Salvador;;Brazil;BR
Hospital Sírio-Libanês;;São Paulo;;Brazil;BR
Hospital Israelita Albert Einstein;;São Paulo;;Brazil;BR
Hospital Heliópolis;;São Paulo;;Brazil;BR
Escola Bahiana de Medicina e Saúde Pública;;Salvador;;Brazil;BR
Hospital Alemão Oswaldo Cruz;;São Paulo;;Brazil;BR
Beneficência Portuguesa de São Paulo;;São Paulo;;Brazil;BR
Dr. Euryclides Hospital de Jesus Zerbini;SPDM;São Paulo;;Brazil;BR
Hospital da Restauração;HR;Recife;;Brazil;BR
Hospital de Base;HDB;Brasília;;Brazil;BR
Hospital de Clínicas de Porto Alegre;HCPA ;Porto Alegre;;Brazil;BR
Hospital Geral de Bonsucesso;HFB;Rio de Janeiro;;Brazil;BR
Ministry of Health;;Salvador;;Brazil;BR
Hospital Federal dos Servidores do Estado;HFSE;Rio de Janeiro;;Brazil;BR
Hospital do Servidor Público Estadual;HSPE;São Paulo;;Brazil;BR
Hospital Felício Rocho;;Belo Horizonte;;Brazil;BR
Hospital Infantil Joana de Gusmão;HIJG;Florianópolis;;Brazil;BR
Hospital Geral de Fortaleza;HGF;Fortaleza;;Brazil;BR
Hospital Madre Teresa;;Belo Horizonte;;Brazil;BR
Mater Dei Hospital;;Belo Horizonte;;Brazil;BR
Hospital Moinhos de Vento;;Porto Alegre;;Brazil;BR
Hospital Mãe de Deus;HMD;Porto Alegre;;Brazil;BR
Hospital Nossa Senhora das Graças;HNSG;Curitiba;;Brazil;BR
Hospital Nossa Senhora da Conceição;;Porto Alegre;;Brazil;BR
Santa Casa Hospital;;Porto Alegre;;Brazil;BR
Hospital Municipal Souza Aguiar;HMSA;Rio de Janeiro;;Brazil;BR
Instituto Adolfo Lutz;;São Paulo;;Brazil;BR
Instituto Dante Pazzanese de Cardiologia;IDPC ;São Paulo;;Brazil;BR
Fertility Medical Group;;São Paulo;;Brazil;BR
Fundação Estadual de Produção e Pesquisa em Saúde;FEPPS;Porto Alegre;;Brazil;BR
Oswaldo Cruz Foundation;FIOCRUZ;Rio de Janeiro;;Brazil;BR
Fundação de Medicina Tropical;FMT-HVD;Manaus;;Brazil;BR
Centro Brasileiro de Pesquisas Físicas;CBPF;Rio de Janeiro;;Brazil;BR
Fundação Pró-Sangue Hemocentro de São Paulo;;São Paulo;;Brazil;BR
Biocor Institute;;Nova Lima;;Brazil;BR
Centro Brasileiro de Estudos em Dermatologia;CBED;Porto Alegre;;Brazil;BR
Instituto Butantan;;São Paulo;;Brazil;BR
National Nuclear Energy Commission;CNEN;Rio de Janeiro;;Brazil;BR
Escola Nacional de Saúde Pública;ENSP;Rio de Janeiro;;Brazil;BR
Faculdade de Ciências Médicas da Santa Casa de São Paulo;FCMSC-SP;São Paulo;;Brazil;BR
Faculdade de Medicina de Marília;;Marília;;Brazil;BR
Faculdade de Medicina de São José do Rio Preto;FAMERP;São José do Rio Preto;;Brazil;BR
Faculdade de Medicina do ABC;FMABC ;Santo André;;Brazil;BR
Faculdade Evangélica do Paraná;FEPAR;Curitiba;;Brazil;BR
Instituto Biológico;IB;São Paulo;;Brazil;BR
Instituto de Botânica;;São Paulo;;Brazil;BR
Fundação Universitária de Cardiologia;;Porto Alegre;;Brazil;BR
Instituto de Infectologia Emílio Ribas;ER;São Paulo;;Brazil;BR
Instituto de Medicina Integral Professor Fernando Figueira;IMIP;Recife;;Brazil;BR
Instituto de Moléstias Cardiovasculares;IMC;São José do Rio Preto;;Brazil;BR
Instituto de Neurologia de Curitiba;INC;Curitiba;;Brazil;BR
Faculdade de Ciências Médicas de Minas Gerais;FCMMG;Belo Horizonte;;Brazil;BR
Instituto Evandro Chagas;IEC;Ananindeua;;Brazil;BR
Instituto H. Ellis;;São Paulo;;Brazil;BR
Instituto Lauro de Souza Lima;ILSL;Bauru;;Brazil;BR
Instituto Nacional do Câncer;INCA;Rio de Janeiro;;Brazil;BR
Instituto Nacional de Cardiologia;;Rio de Janeiro;;Brazil;BR
National Institute of Amazonian Research;INPA;Manaus;;Brazil;BR
National Institute for Space Research;INPE;São José dos Campos;;Brazil;BR
Instituto Tecnológico de Aeronáutica;ITA;São José dos Campos;;Brazil;BR
Irmandade da Santa Casa de Misericórdia de São Paulo;;São Paulo;;Brazil;BR
Secretaria da Saúde;SES-SP;São Paulo;;Brazil;BR
Secretaria Municipal de Saúde;SMSA;Belo Horizonte;;Brazil;BR
Prefeitura da Cidade do Rio de Janeiro;;Rio de Janeiro;;Brazil;BR
Instituto de Radioproteção e Dosimetria;IRD;Rio de Janeiro;;Brazil;BR
Ministry of Agriculture, Livestock, and Food Supply;MAPA;Rio de Janeiro;;Brazil;BR
Instituto Nacional de Metrologia, Qualidade e Tecnologia;INMETRO;Rio de Janeiro;;Brazil;BR
Petrobras (Brazil);;Rio de Janeiro;;Brazil;BR
Embraer (Brazil);;São José dos Campos;;Brazil;BR
Fundação Bio Rio;;Rio de Janeiro;;Brazil;BR
Hospital de Câncer de Barretos;;Barretos;;Brazil;BR
Associação Ilumina;;Piracicaba;;Brazil;BR
Federal University of São João del-Rei;UFSJ;Divinópolis;;Brazil;BR
Edelweiss Gestão Empresarial (Brazil);;São Paulo;;Brazil;BR
Fundação do Câncer;;Rio de Janeiro;;Brazil;BR
Fundmed Pesquisa, Ensino e Inovacao;FMED;Porto Alegre;;Brazil;BR
Hospital Adventista Silvestre;;Rio de Janeiro;;Brazil;BR
Hospital São Vicente;;Curitiba;;Brazil;BR
Grupo Realizar;;Petrópolis;;Brazil;BR
Hospital do Câncer III;HCIII;Rio de Janeiro;;Brazil;BR
Instituto Nacional de Matemática Pura e Aplicada;IMPA;Rio de Janeiro;;Brazil;BR
Instituto Noos;;Rio de Janeiro;;Brazil;BR
Gestos;;Recife;;Brazil;BR
Promundo;;Rio de Janeiro;;Brazil;BR
Scientific Electronic Library Online;SciELO;São Paulo;;Brazil;BR
Centro de Estudos de Cultura Contemporânea;CEDEC;São Paulo;;Brazil;BR
Centro de Referência em Informação Ambiental;CRIA;Campinas;;Brazil;BR
Instituto de Pesquisas Tecnológicas;IPT;São Paulo;;Brazil;BR
Ministry of Science, Technology and Innovation;MCTI;Brasília;;Brazil;BR
National Education and Research Network;RNP;Rio de Janeiro;;Brazil;BR
National Observatory;;Rio de Janeiro;;Brazil;BR
Valongo Observatory;;Rio de Janeiro;;Brazil;BR
Centro Universitário de Volta Redonda;UNIFOA;Rio de Janeiro;;Brazil;BR
Centro Universitário Una;UNA;Betim;;Brazil;BR
West Zone State University;UEZO;Rio de Janeiro;;Brazil;BR
Federal University of Amapá;UNIFAP;Macapá;;Brazil;BR
Federal University of Itajubá;UNIFEI;Itajubá;;Brazil;BR
Federal University of Rondônia;UNIR;Porto Velho;;Brazil;BR
Federal University of Fronteira Sul;UFFS;Chapecó;;Brazil;BR
Federal University of Tocantins;UFT;Palmas;;Brazil;BR
Fundação Centro de Estudos do Universo;;Brotas;;Brazil;BR
Universidade do Estado do Rio Grande do Norte;UERN;Mossoró;;Brazil;BR
Federal University of Roraima;UFRR;Boa Vista;;Brazil;BR
Federal University of Recôncavo da Bahia;UFRB;Cruz das Almas;;Brazil;BR
Federal Rural University of Amazonia;UFRA;Belém;;Brazil;BR
Centro Universitário da FEI;FEI;São Bernardo do Campo;;Brazil;BR
University for International Integration of the Afro-Brazilian Lusophony;UNILAB;Redenção;;Brazil;BR
Centro Universitário Módulo;;Caraguatatuba;;Brazil;BR
Centro Universitário de Caratinga;UNEC;Caratinga;;Brazil;BR
State University of West Paraná;UNIOESTE;Cascavel;;Brazil;BR
Centro Universitário de Lavras;UNILAVRAS;Centenário do Sul;;Brazil;BR
Community University of Chapecó Region - Unochapecó;;Chapecó;;Brazil;BR
Centro Universitário do Espírito Santo;UNESC;Colatina;;Brazil;BR
Centro Universitário do Leste de Minas Gerais;Unileste;Coronel Fabriciano;;Brazil;BR
University of Cruz Alta;UNICRUZ;Cruz Alta;;Brazil;BR
Centro Universitário Unirondon;FCR;Cuiabá;;Brazil;BR
Universidade de Cuiabá;UNIC;Cuiabá;;Brazil;BR
Centro Universitário Campos de Andrade;UNIANDRADE;Curitiba;;Brazil;BR
Centro Universitário Curitiba;UNICURITIBA;Curitiba;;Brazil;BR
Centro Universitário Franciscano do Paraná;FAE;Curitiba;;Brazil;BR
Universidade Tuiuti do Paraná;TUP;Curitiba;;Brazil;BR
Centro Universitário da Grande Dourados;Unigran;Dourados;;Brazil;BR
Universidade Regional Integrada do Alto Uruguai e das Missões;URI;Erechim;;Brazil;BR
Centro Regional Universitário de Espírito Santo do Pinhal;UniPinhal;Espírito Santo do Pinhal;;Brazil;BR
Centro Universitário Newton Paiva;;Belo Horizonte;;Brazil;BR
Centro Universitário de Formiga;UNIFOR-MG;Formiga;;Brazil;BR
Centro Universitário de Franca;Uni-FACEF;Franca;;Brazil;BR
Centro Universitário de Goiás;Uni-ANHANGUERA;Goiânia;;Brazil;BR
Universidade Vale do Rio Doce;;Governador Valadares;;Brazil;BR
Centro Universitário da Fundação Educacional Guaxupé;UNIFEG;Guaxupé;;Brazil;BR
Universidade Regional do Noroeste do Estado do Rio Grande do Sul;UNIJUÍ;Ijuí;;Brazil;BR
Centro Universitário Leonardo da Vinci;UNIASSELVI;Indaial;;Brazil;BR
Centro Universitário Assunção;UNIFAI;São Paulo;;Brazil;BR
Centro Universitário de Itajubá;FEPI;Itajubá;;Brazil;BR
University of Itaúna;UI;Itaúna;;Brazil;BR
Centro Universitário Nossa Senhora do Patrocínio;CEUNSP;Itu;;Brazil;BR
Universidade Estadual do Norte do Paraná;;Jacarezinho;;Brazil;BR
Centro Universitário de Jales;;Jales;;Brazil;BR
Centro Universitário de Jaraguá do Sul;UNERJ;Jaraguá do Sul;;Brazil;BR
Centro Universitário de João Pessoa;UNIPÊ;João Pessoa;;Brazil;BR
Universidade da Região de Joinville;UNIVILLE;Joinville;;Brazil;BR
Centro Universitário Padre Anchieta;UNIANCHIETA;Jundiaí;;Brazil;BR
Universidade do Planalto Catarinense;UNIPLAC;Lages;;Brazil;BR
Univates;;Lajeado;;Brazil;BR
Centro Universitário Anhanguera;;Campo Grande;;Brazil;BR
Centro Universitário de Lins;UNILINS;Lins;;Brazil;BR
Universidade Norte do Paraná;UNOPAR;Londrina;;Brazil;BR
Centro Universitário de Desenvolvimento do Centro Oeste;UNIDESC;Luziânia;;Brazil;BR
Sociedade de Ensino Universitário do Nordeste;SEUNE;Maceió;;Brazil;BR
Centro Universitário de Ensino Superior do Amazonas;CIESA;Manaus;;Brazil;BR
Centro Universitário do Norte;UniNorte;Manaus;;Brazil;BR
Universidade Nilton Lins;;Manaus;;Brazil;BR
Universidade de Marília;Unimar;Marília;;Brazil;BR
Centro Universitário Cesumar;;Maringá;;Brazil;BR
Universidade Braz Cubas;;Mogi das Cruzes;;Brazil;BR
Universidade Potiguar;UNP;Natal;;Brazil;BR
Centro Universitário Plínio Leite;UNIPLI;Niterói;;Brazil;BR
Universidade Iguaçu;UNIG;Nova Iguaçu;;Brazil;BR
Centro Universitário Barriga Verde;UNIBAVE;Orleans;;Brazil;BR
Centro Universitário FIEO;UNIFIEO;Osasco;;Brazil;BR
Centro Universitário Católico do Sudoeste do Paraná;UNICS;Palmas;;Brazil;BR
Universidade do Tocantins;Unitins;Palmas;;Brazil;BR
Centro Universitário de Patos de Minas;UNIPAM;Patos de Minas;;Brazil;BR
Centro Universitário do Cerrado Patrocínio;UNICERP;Patrocínio;;Brazil;BR
Catholic University of Petrópolis;UCP;Petrópolis;;Brazil;BR
Laureate International Universities;;Porto Alegre;;Brazil;BR
Universidade do Vale do Sapucaí;Univás;Pouso Alegre;;Brazil;BR
Catholic University of Pernambuco;Unicap;Recife;;Brazil;BR
Centro Universitário Barão de Mauá;;Ribeirão Preto;;Brazil;BR
Centro Universitário Moura Lacerda;;Ribeirão Preto;;Brazil;BR
Universidade José do Rosário Vellano;Unifenas;Alfenas;;Brazil;BR
Centro Universitário Salesiano de São Paulo;UNISAL;Americana;;Brazil;BR
Colégio Metodista Bennett;;Rio de Janeiro;;Brazil;BR
Centro Universitário Amparense;UNIFIA;Amparo;;Brazil;BR
University Center Augusto Motta;;Rio de Janeiro;;Brazil;BR
Centro Universitário de Anápolis;;Anápolis;;Brazil;BR
Centro Universitário Carioca;;Rio de Janeiro;;Brazil;BR
Centro Universitário Celso Lisboa;;Rio de Janeiro;;Brazil;BR
Universidade Tiradentes;UNIT;Aracaju;;Brazil;BR
Centro Universitário da Cidade;UniverCidade;Rio de Janeiro;;Brazil;BR
Centro Universitário Católico Salesiano Auxilium;UNISALESIANO;Araçatuba;;Brazil;BR
Universidade Cândido Mendes;;Rio de Janeiro;;Brazil;BR
Centro Universitario Toledo;UniToledo;Araçatuba;;Brazil;BR
Universidade Castelo Branco;UCB;Rio de Janeiro;;Brazil;BR
Centro Universitário de Araraquara;;Araraquara;;Brazil;BR
Universidade Unigranrio;;Rio de Janeiro;;Brazil;BR
Universidade para o Desenvolvimento do Alto Vale do Itajaí;UNIDAVI;Rio do Sul;;Brazil;BR
Centro Universitario de Araras Dr Edmunso Ulson;UNAR;Araras;;Brazil;BR
Universidade de Rio Verde;UniRV;Rio Verde de Mato Grosso;Goiás;Brazil;BR
Centro Universitário Herminio Ometto de Araras;;Araras;;Brazil;BR
Centro Universitário do Planalto de Araxá;Uniaraxá;Araxá;;Brazil;BR
Universidade da Região da Campanha;URCAMP;Bagé;;Brazil;BR
Universidade Presidente Antônio Carlos;UNIPAC;Barbacena;;Brazil;BR
Jorge Amado University Center;Unijorge;Salvador;;Brazil;BR
Universidade Católica de Salvador;UCSal;Salvador;;Brazil;BR
Centro Universitário de Barra Mansa;UBM;Barra Mansa;;Brazil;BR
Centro Universitário da Fundação Educacional de Barretos;UNIFEB;Barretos;;Brazil;BR
Centro Universitário Claretiano;CEUCLAR;Batatais;;Brazil;BR
Centro Universitário do Pará;Cesupa;Belém;;Brazil;BR
Universidade da Amazônia;UNAMA;Belém;;Brazil;BR
State University of Pará;UEPA;Belém;;Brazil;BR
Bahia State University;UNEB;Salvador;;Brazil;BR
Universidade Salvador;;Salvador;;Brazil;BR
University of Santa Cruz do Sul;UNISC;Santa Cruz do Sul;;Brazil;BR
Centro Universitário Fundação Santo André;FSA;Santo André;;Brazil;BR
Centro Universitário Lusíada;UNILUS;Santos;;Brazil;BR
Uniabeu Centro Universitário;;Belford Roxo;;Brazil;BR
Centro Universitário Monte Serrat;CSJT;Santos;;Brazil;BR
Universidade Metropolitana de Santos;UNIMES;Santos;;Brazil;BR
Instituto Metodista Izabela Hendrix;;Belo Horizonte;;Brazil;BR
Minas Gerais State University;UEMG;Belo Horizonte;;Brazil;BR
Universidade Santa Cecília;UNISANTA;Santos;;Brazil;BR
Universidade Fundação Mineira de Educação e Cultura;FUMEC;Belo Horizonte;;Brazil;BR
University Center of Brasília;UNICEUB;Brasília;;Brazil;BR
Instituto Mauá de Tecnologia;IMT;São Caetano do Sul;;Brazil;BR
Centro Universitário Euroamericano;UNIEURO;Brasília;;Brazil;BR
Centro Universitário de Brusque;UNIFEBE;Brusque;;Brazil;BR
Universidade do Contestado;UNC;Caçador;;Brazil;BR
Mato Grosso State University;;Cáceres;;Brazil;BR
Pontifícia Universidade Católica de Campinas;;Campinas;;Brazil;BR
Universidade Municipal de São Caetano do Sul;USCS;São Caetano do Sul;;Brazil;BR
Centro Universitário Central Paulista;UNICEP;São Carlos;;Brazil;BR
Universidade Salgado de Oliveira;UNIVERSO;São Gonçalo;;Brazil;BR
Centro Universitário da Fundação de Ensino Octávio Bastos;UNIFEOB;São João da Boa Vista;;Brazil;BR
Centro Universitário Municipal de São José;USJ;São José;;Brazil;BR
Dom Bosco Catholic University;UCDB;Campo Grande;;Brazil;BR
Centro Universitário de Rio Preto;UNIRP;São José do Rio Preto;;Brazil;BR
Centro Universitario Fluminense;UNIFLU;Rio de Janeiro;;Brazil;BR
Centro Universitário do Norte Paulista;UNORP;São José do Rio Preto;;Brazil;BR
Universidade La Salle;;Canoas;;Brazil;BR
Anhanguera-Uniderp University;;Campo Grande;;Brazil;BR
Centro Universitário do Maranhão;UNICEUMA;São Luís;;Brazil;BR
Centro Universitário Adventista de São Paulo;UNASP;São Paulo;;Brazil;BR
Centro Universitário Belas Artes de São Paulo;;São Paulo;;Brazil;BR
Centro Universitário Capital;UNICAPITAL;São Paulo;;Brazil;BR
Centro Universitário de Votuporanga;UNIFEV;Votuporanga;;Brazil;BR
Centro Universitario FIAM FAAM;;São Paulo;;Brazil;BR
Centro Universitário Ítalo Brasileiro;UniÍtalo;São Paulo;;Brazil;BR
Centro Universitário Paulistano;UP;São Paulo;;Brazil;BR
Centro Universitário Sant’Anna;;São Paulo;;Brazil;BR
Senac University Center;;São Paulo;;Brazil;BR
Universidade Brasil;UB;São Paulo;;Brazil;BR
Universidade São Judas Tadeu;USJT;São Paulo;;Brazil;BR
Universidade São Marcos;USM - SMARCOS;São Paulo;;Brazil;BR
Centro Universitário de Sete Lagoas;UNIFEMM;Sete Lagoas;;Brazil;BR
State University of Vale do Acaraú;UVA;Sobral;;Brazil;BR
Universidade de Sorocaba;UNISO;Sorocaba;;Brazil;BR
Centro Universitário Serra dos Órgãos;UNIFESO;Teresópolis;;Brazil;BR
Centro Universitário do Triângulo;UNITRI;Uberlândia;;Brazil;BR
Centro Universitário de União da Vitória;Uniuv;União da Vitória;;Brazil;BR
Centro Universitário do Sul de Minas;UNIS-MG;Varginha;;Brazil;BR
