Name;Acronym;State Acronym;Institution Type
Faculdade Brasileira de Recursos Humanos;FBRH;SP;Outros
Faculdade Brasília de São Paulo;FABRASP;SP;Outros
Faculdade Brasília de Tecnologia, Ciências e Educação;FACULDADE BRASÍLIA;DF;Outros
Faculdade Camaqüense de Ciências Contábeis e Administrativas;FACCCA;RS;Outros
Faculdade Câmara Cascudo;FCC;RN;Outros
Faculdade Cambury;CAMBURY;GO;Outros
Faculdade Cambury de Formosa;CAMBURY;GO;Outros
Faculdade Campo Limpo Paulista;FACCAMP;SP;Outros
Faculdade Campos Elíseos;FCE;SP;Outros
Faculdade Candido Mendes de Vitória;FCMV;ES;Outros
Faculdade Capivari;FUCAP;SC;Outros
Faculdade Capixaba de Administração e Educação;UNICES;ES;Outros
Faculdade Capixaba de Nova Venécia;UNIVEN;ES;Outros
Faculdade Carlos Drummond de Andrade;FCDA;SP;Outros
Faculdade Casa Branca;FACAB;SP;Outros
Faculdade Casa do Estudante;FACE;ES;Outros
Faculdade Casa do Fera Ponta Negra;FAC CDF PONTA NEGRA;RN;Outros
Faculdade Cásper Líbero;FCL;SP;Outros
Faculdade Castelo Branco;FICAB;ES;Outros
Faculdade Castro Alves;FCA;BA;Outros
Faculdade Católica de Anápolis;Católica de Anápolis;GO;Outros
Faculdade Católica de Ciências Econômicas da Bahia;FACCEBA;BA;Outros
Faculdade Católica de Uberlândia;CATÓLICA;MG;Outros
Faculdade Católica do Ceará;FCC;CE;Outros
Faculdade Católica do Tocantins;FACTO;TO;Outros
Faculdade Católica Dom Aquino de Cuiabá;FAC;MT;Outros
Faculdade Católica Dom Orione;FACDO;TO;Outros
Faculdade Católica Nossa Senhora das Neves;FCNSN;RN;Outros
Faculdade Católica Nossa Senhora das Vitórias;FCNSV;RN;Outros
Faculdade Católica Rainha da Paz de Araputanga;FCARP;MT;Outros
Faculdade Católica Santa Teresinha;FCST;RN;Outros
Faculdade CBES;CBES;PR;Outros
Faculdade CCAA;FAC CCAA;RJ;Outros
Faculdade Cearense;FC;CE;Outros
Faculdade Cearense;FaC;CE;Outros
Faculdade Cecap do Lago Norte;CECAP;DF;Outros
Faculdade Cenecista de Bento Gonçalves;FACEBG;RS;Outros
Faculdade Cenecista de Brasília;FACEB;DF;Outros
Faculdade Cenecista de Campo Largo;FACECLA;PR;Outros
Faculdade Cenecista de Capivari;FACECAP;SP;Outros
Faculdade Cenecista de Itaboraí;FACNEC;RJ;Outros
Faculdade Cenecista de Joinville - Face;FCJ;SC;Outros
Faculdade Cenecista de Nova Petrópolis;FACENP;RS;Outros
Faculdade Cenecista de Osório;FACOS;RS;Outros
Faculdade Cenecista de Rondonópolis;FACER;MT;Outros
Faculdade Cenecista de Sete Lagoas;FCSL;MG;Outros
Faculdade Cenecista de Sinop;FACENOP;MT;Outros
Faculdade Cenecista de Varginha;FACECA;MG;Outros
Faculdade Cenecista de Vila Velha;FACEVV;ES;Outros
Faculdade Cenecista Ilha do Governador;FACIG;RJ;Outros
Faculdade Cenecista Nossa Senhora dos Anjos;FACENSA;RS;Outros
Faculdade Central de Cristalina;FACEC;GO;Outros
Faculdade Centro Paulista;CESI;SP;Outros
Faculdade Ceres;FACERES;SP;Outros
Faculdade Certo;FACE;PI;Outros
