Name,Acronym,city,state,country_name,country_code
Hospital Santa Izabel,HSI,Salvador,None,Brazil,BR
Hospital Santa Marcelina,None,São Paulo,None,Brazil,BR
Hospital Socor,None,Belo Horizonte,None,Brazil,BR
Hospital São Paulo,HSP,São Paulo,None,Brazil,BR
Hospital São Rafael,HSR,Salvador,None,Brazil,BR
Hospital Sírio-Libanês,None,São Paulo,None,Brazil,BR
Hospital Israelita Albert Einstein,None,São Paulo,None,Brazil,BR
Hospital Heliópolis,None,São Paulo,None,Brazil,BR
Escola Bahiana de Medicina e Saúde Pública,None,Salvador,None,Brazil,BR
Hospital Alemão Oswaldo Cruz,None,São Paulo,None,Brazil,BR
Beneficência Portuguesa de São Paulo,None,São Paulo,None,Brazil,BR
Dr. Euryclides Hospital de Jesus Zerbini,SPDM,São Paulo,None,Brazil,BR
Hospital da Restauração,HR,Recife,None,Brazil,BR
Hospital de Base,HDB,Brasília,None,Brazil,BR
Hospital de Clínicas de Porto Alegre,HCPA ,Porto Alegre,None,Brazil,BR
Hospital Geral de Bonsucesso,HFB,Rio de Janeiro,None,Brazil,BR
Ministry of Health,None,Salvador,None,Brazil,BR
Hospital Federal dos Servidores do Estado,HFSE,Rio de Janeiro,None,Brazil,BR
Hospital do Servidor Público Estadual,HSPE,São Paulo,None,Brazil,BR
Hospital Felício Rocho,None,Belo Horizonte,None,Brazil,BR
Hospital Infantil Joana de Gusmão,HIJG,Florianópolis,None,Brazil,BR
Hospital Geral de Fortaleza,HGF,Fortaleza,None,Brazil,BR
Hospital Madre Teresa,None,Belo Horizonte,None,Brazil,BR
Mater Dei Hospital,None,Belo Horizonte,None,Brazil,BR
Hospital Moinhos de Vento,None,Porto Alegre,None,Brazil,BR
Hospital Mãe de Deus,HMD,Porto Alegre,None,Brazil,BR
Hospital Nossa Senhora das Graças,HNSG,Curitiba,None,Brazil,BR
Hospital Nossa Senhora da Conceição,None,Porto Alegre,None,Brazil,BR
Santa Casa Hospital,None,Porto Alegre,None,Brazil,BR
Hospital Municipal Souza Aguiar,HMSA,Rio de Janeiro,None,Brazil,BR
Instituto Adolfo Lutz,None,São Paulo,None,Brazil,BR
Instituto Dante Pazzanese de Cardiologia,IDPC ,São Paulo,None,Brazil,BR
Fertility Medical Group,None,São Paulo,None,Brazil,BR
Fundação Estadual de Produção e Pesquisa em Saúde,FEPPS,Porto Alegre,None,Brazil,BR
Oswaldo Cruz Foundation,FIOCRUZ,Rio de Janeiro,None,Brazil,BR
Fundação de Medicina Tropical,FMT-HVD,Manaus,None,Brazil,BR
Centro Brasileiro de Pesquisas Físicas,CBPF,Rio de Janeiro,None,Brazil,BR
Fundação Pró-Sangue Hemocentro de São Paulo,None,São Paulo,None,Brazil,BR
Biocor Institute,None,Nova Lima,None,Brazil,BR
Centro Brasileiro de Estudos em Dermatologia,CBED,Porto Alegre,None,Brazil,BR
Instituto Butantan,None,São Paulo,None,Brazil,BR
National Nuclear Energy Commission,CNEN,Rio de Janeiro,None,Brazil,BR
Escola Nacional de Saúde Pública,ENSP,Rio de Janeiro,None,Brazil,BR
Faculdade de Ciências Médicas da Santa Casa de São Paulo,FCMSC-SP,São Paulo,None,Brazil,BR
Faculdade de Medicina de Marília,None,Marília,None,Brazil,BR
Faculdade de Medicina de São José do Rio Preto,FAMERP,São José do Rio Preto,None,Brazil,BR
Faculdade de Medicina do ABC,FMABC ,Santo André,None,Brazil,BR
Faculdade Evangélica do Paraná,FEPAR,Curitiba,None,Brazil,BR
Instituto Biológico,IB,São Paulo,None,Brazil,BR
Instituto de Botânica,None,São Paulo,None,Brazil,BR
Fundação Universitária de Cardiologia,None,Porto Alegre,None,Brazil,BR
Instituto de Infectologia Emílio Ribas,ER,São Paulo,None,Brazil,BR
Instituto de Medicina Integral Professor Fernando Figueira,IMIP,Recife,None,Brazil,BR
Instituto de Moléstias Cardiovasculares,IMC,São José do Rio Preto,None,Brazil,BR
Instituto de Neurologia de Curitiba,INC,Curitiba,None,Brazil,BR
Faculdade de Ciências Médicas de Minas Gerais,FCMMG,Belo Horizonte,None,Brazil,BR
Instituto Evandro Chagas,IEC,Ananindeua,None,Brazil,BR
Instituto H. Ellis,None,São Paulo,None,Brazil,BR
Instituto Lauro de Souza Lima,ILSL,Bauru,None,Brazil,BR
Instituto Nacional do Câncer,INCA,Rio de Janeiro,None,Brazil,BR
Instituto Nacional de Cardiologia,None,Rio de Janeiro,None,Brazil,BR
