Institution Name;Institution Country;Institution State;Institution City;;;;
Universidade de Vassouras;Brasil;Rio de Janeiro;Vassouras;;;;
Universidade do Contestado (UNC);Brasil;Santa Catarina;Mafra;;;;
Universidade do Grande Rio (Unigranrio);Brasil;Rio de Janeiro;Duque de Caxias;;;;
Universidade do Vale do Itajaí (UNIVALE);Brasil;Santa Catarina;Itajaí;;;;
Universidade do Vale do Rio dos Sinos (Unisinos);Brasil;Rio Grande do Sul;São Leopoldo;;;;
Universidade do Vale do Sapucaí (UNIVAS);Brasil;Minas Gerais;Pouso Alegre;;;;
Universidade do Vale do Taquari;Brasil;Rio Grande do Sul;Lajeado;;;;
Universidade do Vale do Taquari (UNIVATES);Brasil;Rio Grande do Sul;Lajeado;;;;
Universidade Estácio de Sá (UNESA);Brasil;Rio de Janeiro;Rio de Janeiro;;;;
Universidade Estadual de Campinas (Unicamp);Brasil;São Paulo;Campinas;;;;
Universidade Estadual de Feira de Santana (UEFS);Brasil;Bahia;Feira de Santana;;;;
Universidade Estadual de Londrina (UEL);Brasil;Paraná;Londrina;;;;
Universidade Estadual de Montes Claros (UNIMONTES);Brasil;Minas Gerais;Montes Claros;;;;
Universidade Estadual de Ponta Grossa (UEPG);Brasil;Paraná;Ponta Grossa;;;;
Universidade Estadual do Centro Oeste (UNICENTRO);Brasil;Paraná;Guarapuava;;;;
Universidade Federal da Fronteira do Sul (UFFS);Brasil;Santa Catarina;Chapecó;;;;
Universidade Federal da Grande Dourados (UFGD);Brasil;Mato Grosso do Sul;Dourados;;;;
Universidade Federal da Integração Internacional da Lusofonia Afro-Brasileira (UNILAB);Brasil;Ceará;Redenção;;;;
Universidade Federal da Integração Latino-Americana (UNILA);Brasil;Paraná;Foz do Iguaçu;;;;
Universidade Federal de Alfenas (UNIFAL-MG);Brasil;Minas Gerais;Alfenas;;;;
Universidade Federal de Campina Grande (UFCG);Brasil;Paraíba;Campina Grande;;;;
Universidade Federal de Catalão (UFCAT);Brasil;Goiás;Catalão;;;;
Universidade Federal de Juiz de Fora (UFJF);Brasil;Minas Gerais;Juiz de Fora;;;;
Universidade Federal de Ouro Preto (UFOP);Brasil;Minas Gerais;Ouro Preto;;;;
